FIELD,index,SPLUS_F378,SPLUS_F395,SPLUS_F410,SPLUS_F430,SPLUS_F515,SPLUS_F660,SPLUS_F861,SPLUS_G,SPLUS_I,SPLUS_R,SPLUS_U,SPLUS_Z
"HYDRA-0046",35,20.16,20.076,21.082,21.151,21.447,21.107,21.64,23.501,23.363,23.567,20.951,22.776
"HYDRA-0047",36,20.298,20.256,21.286,21.38,21.62,21.176,21.688,23.694,23.435,23.665,21.055,22.833
"HYDRA-0048",37,19.409,19.375,20.486,20.62,20.812,20.319,20.836,22.91,22.574,22.822,20.182,21.983
"HYDRA-0049",38,20.264,20.201,21.257,21.368,21.618,21.177,21.677,23.69,23.418,23.659,21.006,22.808
"HYDRA-0050",39,19.4,19.382,20.482,20.614,20.804,20.295,20.8,22.874,22.513,22.788,20.145,21.876
"HYDRA-0051",40,20.212,20.129,21.203,21.317,21.574,21.045,21.609,23.616,23.351,23.582,21.002,22.771
"HYDRA-0052",41,19.467,19.414,20.516,20.653,20.834,20.33,20.836,22.923,22.572,22.828,20.23,21.974
"HYDRA-0053",42,19.589,19.53,20.599,20.7,20.884,20.367,20.864,22.971,22.619,22.873,20.34,22.03
"HYDRA-0054",43,20.275,20.212,21.277,21.387,21.638,21.163,21.655,23.703,23.402,23.647,21.05,22.796
"HYDRA-0055",44,19.576,19.497,20.577,20.67,20.858,20.363,20.839,22.955,22.599,22.82,20.33,21.983
"HYDRA-0056",45,19.46,19.447,20.552,20.686,20.852,20.33,20.835,22.942,22.575,22.832,20.228,21.98
"HYDRA-0057",46,20.274,20.184,21.255,21.367,21.608,21.143,21.649,23.668,23.386,23.613,21.037,22.809
"HYDRA-0058",47,20.27,20.181,21.262,21.382,21.625,21.166,21.665,23.702,23.394,23.636,21.06,22.817
"SPLUS-s02s01",48,19.915,19.904,20.956,21.063,21.425,21.117,21.675,23.472,23.373,23.556,20.632,22.825
"SPLUS-s02s02",49,20.125,20.079,21.08,21.16,21.489,21.121,21.663,23.529,23.385,23.588,20.895,22.799
"SPLUS-s02s03",50,20.088,20.038,21.073,21.177,21.504,21.133,21.662,23.548,23.39,23.59,20.845,22.802
"SPLUS-s02s04",51,20.123,20.095,21.097,21.202,21.505,21.133,21.681,23.553,23.417,23.607,20.841,22.87
"SPLUS-s02s05",52,20.134,20.076,21.091,21.187,21.508,21.131,21.677,23.549,23.417,23.612,20.857,22.877
"SPLUS-s02s06",53,20.069,20.074,21.067,21.189,21.515,21.129,21.67,23.554,23.415,23.603,20.785,22.871
"SPLUS-s02s07",54,20.115,20.082,21.074,21.181,21.501,21.132,21.68,23.545,23.41,23.602,20.828,22.834
"SPLUS-s02s08",55,20.085,20.067,21.097,21.208,21.517,21.13,21.675,23.574,23.418,23.606,20.827,22.878
"SPLUS-s02s09",56,20.086,20.018,21.069,21.177,21.517,21.113,21.666,23.563,23.426,23.607,20.821,22.877
"SPLUS-s02s10",57,20.077,20.035,21.06,21.162,21.5,21.137,21.673,23.546,23.416,23.606,20.858,22.875
"SPLUS-s02s11",58,20.124,20.077,21.091,21.179,21.488,21.128,21.673,23.524,23.388,23.584,20.875,22.812
"SPLUS-s02s12",59,20.104,20.048,21.031,21.127,21.456,21.107,21.657,23.493,23.385,23.58,20.858,22.799
